bin_center,count
6923.0,1
6933.0,0
6943.0,0
6953.0,0
6963.0,0
6973.0,0
6983.0,0
6993.0,0
7003.0,0
7013.0,0
7023.0,0
7033.0,0
7043.0,0
7053.0,0
7063.0,0
7073.0,0
7083.0,1
7093.0,0
7103.0,0
7113.0,0
7123.0,0
7133.0,0
7143.0,0
7153.0,0
7163.0,0
7173.0,0
7183.0,0
7193.0,1
7203.0,0
7213.0,0
7223.0,0
7233.0,0
7243.0,0
7253.0,0
7263.0,0
7273.0,0
7283.0,0
7293.0,0
7303.0,0
7313.0,0
7323.0,0
7333.0,0
7343.0,0
7353.0,0
7363.0,0
7373.0,0
7383.0,0
7393.0,0
7403.0,1
7413.0,0
7423.0,0
7433.0,0
7443.0,0
7453.0,0
7463.0,0
7473.0,0
7483.0,0
7493.0,0
7503.0,0
7513.0,0
7523.0,0
7533.0,0
7543.0,0
7553.0,0
7563.0,1
7573.0,0
7583.0,0
7593.0,1
7603.0,0
7613.0,0
7623.0,0
7633.0,0
7643.0,0
7653.0,1
7663.0,0
7673.0,0
7683.0,0
7693.0,0
7703.0,0
7713.0,0
7723.0,0
7733.0,0
7743.0,0
7753.0,0
7763.0,0
7773.0,0
7783.0,0
7793.0,0
7803.0,0
7813.0,1
7823.0,0
7833.0,0
7843.0,0
7853.0,0
7863.0,1
7873.0,0
7883.0,0
7893.0,0
7903.0,1
7913.0,1
7923.0,2
7933.0,0
7943.0,0
7953.0,1
7963.0,0
7973.0,1
7983.0,0
7993.0,0
8003.0,0
8013.0,1
8023.0,0
8033.0,0
8043.0,3
8053.0,0
8063.0,0
8073.0,0
8083.0,0
8093.0,0
8103.0,0
8113.0,1
8123.0,0
8133.0,0
8143.0,0
8153.0,1
8163.0,0
8173.0,0
8183.0,0
8193.0,0
8203.0,1
8213.0,1
8223.0,0
8233.0,0
8243.0,0
8253.0,1
8263.0,0
8273.0,1
8283.0,1
8293.0,2
8303.0,0
8313.0,0
8323.0,1
8333.0,1
8343.0,0
8353.0,0
8363.0,1
8373.0,0
8383.0,0
8393.0,0
8403.0,0
8413.0,0
8423.0,0
8433.0,1
8443.0,1
8453.0,1
8463.0,0
8473.0,0
8483.0,2
8493.0,0
8503.0,1
8513.0,1
8523.0,2
8533.0,0
8543.0,0
8553.0,0
8563.0,2
8573.0,1
8583.0,0
8593.0,0
8603.0,1
8613.0,1
8623.0,1
8633.0,0
8643.0,0
8653.0,4
8663.0,0
8673.0,1
8683.0,1
8693.0,1
8703.0,1
8713.0,0
8723.0,0
8733.0,2
8743.0,3
8753.0,2
8763.0,0
8773.0,1
8783.0,0
8793.0,1
8803.0,1
8813.0,1
8823.0,2
8833.0,0
8843.0,1
8853.0,1
8863.0,0
8873.0,0
8883.0,1
8893.0,1
8903.0,0
8913.0,1
8923.0,0
8933.0,0
8943.0,1
8953.0,1
8963.0,2
8973.0,2
8983.0,1
8993.0,1
9003.0,0
9013.0,1
9023.0,1
9033.0,1
9043.0,1
9053.0,1
9063.0,2
9073.0,1
9083.0,0
9093.0,3
9103.0,2
9113.0,2
9123.0,1
9133.0,0
9143.0,4
9153.0,1
9163.0,0
9173.0,1
9183.0,1
9193.0,2
9203.0,1
9213.0,1
9223.0,0
9233.0,3
9243.0,4
9253.0,0
9263.0,1
9273.0,1
9283.0,2
9293.0,1
9303.0,2
9313.0,1
9323.0,1
9333.0,2
9343.0,0
9353.0,2
9363.0,2
9373.0,1
9383.0,0
9393.0,0
9403.0,1
9413.0,1
9423.0,2
9433.0,2
9443.0,0
9453.0,1
9463.0,3
9473.0,2
9483.0,1
9493.0,3
9503.0,1
9513.0,2
9523.0,3
9533.0,1
9543.0,2
9553.0,1
9563.0,2
9573.0,0
9583.0,1
9593.0,3
9603.0,1
9613.0,1
9623.0,2
9633.0,4
9643.0,2
9653.0,2
9663.0,0
9673.0,1
9683.0,1
9693.0,2
9703.0,4
9713.0,3
9723.0,1
9733.0,1
9743.0,2
9753.0,5
9763.0,3
9773.0,2
9783.0,1
9793.0,1
9803.0,4
9813.0,3
9823.0,0
9833.0,1
9843.0,0
9853.0,2
9863.0,1
9873.0,1
9883.0,3
9893.0,1
9903.0,0
9913.0,2
9923.0,1
9933.0,1
9943.0,1
9953.0,2
9963.0,3
9973.0,5
9983.0,3
9993.0,3
10003.0,4
10013.0,3
10023.0,2
10033.0,4
10043.0,2
10053.0,2
10063.0,5
10073.0,0
10083.0,1
10093.0,0
10103.0,2
10113.0,4
10123.0,3
10133.0,1
10143.0,6
10153.0,0
10163.0,2
10173.0,0
10183.0,1
10193.0,0
10203.0,4
10213.0,2
10223.0,3
10233.0,1
10243.0,3
10253.0,3
10263.0,2
10273.0,3
10283.0,4
10293.0,2
10303.0,3
10313.0,1
10323.0,2
10333.0,0
10343.0,1
10353.0,1
10363.0,3
10373.0,4
10383.0,6
10393.0,1
10403.0,2
10413.0,3
10423.0,0
10433.0,3
10443.0,2
10453.0,2
10463.0,1
10473.0,1
10483.0,5
10493.0,1
10503.0,2
10513.0,4
10523.0,2
10533.0,6
10543.0,2
10553.0,3
10563.0,1
10573.0,2
10583.0,1
10593.0,0
10603.0,2
10613.0,6
10623.0,2
10633.0,3
10643.0,4
10653.0,3
10663.0,1
10673.0,3
10683.0,3
10693.0,1
10703.0,1
10713.0,1
10723.0,0
10733.0,2
10743.0,2
10753.0,7
10763.0,2
10773.0,3
10783.0,0
10793.0,4
10803.0,1
10813.0,4
10823.0,2
10833.0,4
10843.0,2
10853.0,1
10863.0,2
10873.0,2
10883.0,2
10893.0,3
10903.0,3
10913.0,4
10923.0,2
10933.0,0
10943.0,1
10953.0,5
10963.0,3
10973.0,5
10983.0,4
10993.0,2
11003.0,2
11013.0,2
11023.0,4
11033.0,1
11043.0,1
11053.0,2
11063.0,1
11073.0,2
11083.0,2
11093.0,1
11103.0,1
11113.0,1
11123.0,0
11133.0,6
11143.0,2
11153.0,7
11163.0,4
11173.0,1
11183.0,4
11193.0,3
11203.0,1
11213.0,3
11223.0,7
11233.0,0
11243.0,3
11253.0,1
11263.0,2
11273.0,2
11283.0,5
11293.0,5
11303.0,1
11313.0,3
11323.0,2
11333.0,1
11343.0,3
11353.0,2
11363.0,3
11373.0,0
11383.0,6
11393.0,4
11403.0,4
11413.0,2
11423.0,2
11433.0,1
11443.0,3
11453.0,2
11463.0,5
11473.0,5
11483.0,6
11493.0,7
11503.0,2
11513.0,7
11523.0,5
11533.0,1
11543.0,5
11553.0,2
11563.0,4
11573.0,4
11583.0,3
11593.0,6
11603.0,3
11613.0,3
11623.0,3
11633.0,3
11643.0,2
11653.0,6
11663.0,5
11673.0,6
11683.0,0
11693.0,4
11703.0,3
11713.0,3
11723.0,1
11733.0,3
11743.0,6
11753.0,4
11763.0,2
11773.0,7
11783.0,6
11793.0,1
11803.0,5
11813.0,4
11823.0,3
11833.0,1
11843.0,3
11853.0,2
11863.0,3
11873.0,3
11883.0,4
11893.0,4
11903.0,2
11913.0,4
11923.0,3
11933.0,6
11943.0,3
11953.0,2
11963.0,4
11973.0,4
11983.0,4
11993.0,0
12003.0,6
12013.0,3
12023.0,4
12033.0,2
12043.0,3
12053.0,3
12063.0,3
12073.0,5
12083.0,4
12093.0,7
12103.0,2
12113.0,5
12123.0,3
12133.0,2
12143.0,1
12153.0,3
12163.0,0
12173.0,7
12183.0,2
12193.0,4
12203.0,7
12213.0,1
12223.0,7
12233.0,2
12243.0,2
12253.0,3
12263.0,5
12273.0,1
12283.0,1
12293.0,3
12303.0,1
12313.0,2
12323.0,3
12333.0,2
12343.0,1
12353.0,3
12363.0,2
12373.0,4
12383.0,1
12393.0,2
12403.0,6
12413.0,2
12423.0,4
12433.0,5
12443.0,3
12453.0,6
12463.0,4
12473.0,0
12483.0,3
12493.0,6
12503.0,3
12513.0,2
12523.0,4
12533.0,1
12543.0,3
12553.0,8
12563.0,4
12573.0,3
12583.0,2
12593.0,5
12603.0,3
12613.0,1
12623.0,4
12633.0,9
12643.0,1
12653.0,2
12663.0,2
12673.0,5
12683.0,7
12693.0,4
12703.0,5
12713.0,3
12723.0,6
12733.0,5
12743.0,6
12753.0,3
12763.0,2
12773.0,3
12783.0,3
12793.0,2
12803.0,7
12813.0,8
12823.0,6
12833.0,3
12843.0,6
12853.0,6
12863.0,6
12873.0,4
12883.0,4
12893.0,4
12903.0,4
12913.0,5
12923.0,6
12933.0,1
12943.0,4
12953.0,5
12963.0,4
12973.0,2
12983.0,7
12993.0,7
13003.0,4
13013.0,3
13023.0,2
13033.0,1
13043.0,5
13053.0,2
13063.0,4
13073.0,5
13083.0,1
13093.0,8
13103.0,3
13113.0,4
13123.0,4
13133.0,8
13143.0,3
13153.0,3
13163.0,4
13173.0,3
13183.0,8
13193.0,5
13203.0,5
13213.0,2
13223.0,4
13233.0,3
13243.0,2
13253.0,4
13263.0,6
13273.0,3
13283.0,2
13293.0,3
13303.0,2
13313.0,6
13323.0,4
13333.0,7
13343.0,1
13353.0,5
13363.0,3
13373.0,3
13383.0,5
13393.0,4
13403.0,3
13413.0,8
13423.0,3
13433.0,7
13443.0,1
13453.0,5
13463.0,5
13473.0,3
13483.0,1
13493.0,3
13503.0,5
13513.0,3
13523.0,3
13533.0,5
13543.0,8
13553.0,5
13563.0,7
13573.0,5
13583.0,4
13593.0,4
13603.0,4
13613.0,3
13623.0,2
13633.0,5
13643.0,3
13653.0,3
13663.0,5
13673.0,2
13683.0,9
13693.0,2
13703.0,6
13713.0,4
13723.0,4
13733.0,6
13743.0,2
13753.0,9
13763.0,2
13773.0,5
13783.0,2
13793.0,7
13803.0,2
13813.0,2
13823.0,6
13833.0,4
13843.0,4
13853.0,6
13863.0,2
13873.0,5
13883.0,4
13893.0,3
