bin_center,count
836.0005695842035,1
846.0017087526105,0
856.0028479210176,0
866.0039870894248,0
876.0051262578318,2
886.0062654262388,2
896.0074045946459,1
906.008543763053,0
916.00968293146,1
926.010822099867,2
936.0119612682741,2
946.0131004366813,2
956.0142396050883,0
966.0153787734953,1
976.0165179419024,6
986.0176571103095,4
996.0187962787165,0
1006.0199354471235,4
1016.0210746155307,4
1026.0222137839378,0
1036.0233529523448,6
1046.0244921207518,3
1056.0256312891588,7
1066.026770457566,7
1076.027909625973,6
1086.02904879438,9
1096.030187962787,6
1106.0313271311943,6
1116.0324662996013,6
1126.0336054680083,9
1136.0347446364153,4
1146.0358838048226,11
1156.0370229732296,8
1166.0381621416366,6
1176.0393013100436,12
1186.0404404784508,4
1196.0415796468578,6
1206.0427188152648,14
1216.0438579836718,10
1226.044997152079,10
1236.046136320486,9
1246.047275488893,13
1256.0484146573,17
1266.0495538257073,14
1276.0506929941143,9
1286.0518321625214,19
1296.0529713309284,15
1306.0541104993356,15
1316.0552496677426,15
1326.0563888361496,19
1336.0575280045566,24
1346.0586671729636,19
1356.0598063413709,15
1366.0609455097779,21
1376.0620846781849,14
1386.063223846592,13
1396.0643630149991,17
1406.0655021834061,26
1416.0666413518131,13
1426.0677805202201,20
1436.0689196886274,17
1446.0700588570344,26
1456.0711980254414,26
1466.0723371938486,26
1476.0734763622556,26
1486.0746155306626,17
1496.0757546990696,21
1506.0768938674767,34
1516.0780330358837,21
1526.079172204291,26
1536.080311372698,21
1546.081450541105,25
1556.0825897095121,17
1566.0837288779192,29
1576.0848680463262,28
1586.0860072147332,27
1596.0871463831402,31
1606.0882855515474,27
1616.0894247199544,22
1626.0905638883614,33
1636.0917030567687,29
1646.0928422251757,23
1656.0939813935827,32
1666.0951205619897,26
1676.0962597303967,33
1686.097398898804,35
1696.098538067211,36
1706.099677235618,32
1716.1008164040252,26
1726.1019555724322,30
1736.1030947408392,32
1746.1042339092462,28
1756.1053730776532,45
1766.1065122460604,35
1776.1076514144675,30
1786.1087905828745,30
1796.1099297512815,35
1806.1110689196887,34
1816.1122080880957,34
1826.1133472565027,42
1836.1144864249097,23
1846.1156255933167,28
1856.116764761724,39
1866.117903930131,37
1876.119043098538,31
1886.120182266945,26
1896.1213214353522,34
1906.1224606037592,29
1916.1235997721662,37
1926.1247389405735,33
1936.1258781089805,37
1946.1270172773875,32
1956.1281564457945,33
1966.1292956142015,39
1976.1304347826087,28
1986.1315739510158,37
1996.1327131194228,36
2006.13385228783,37
2016.134991456237,35
2026.136130624644,16
2036.137269793051,35
2046.138408961458,40
2056.139548129865,27
2066.1406872982725,25
2076.141826466679,35
2086.1429656350865,26
2096.1441048034935,24
2106.1452439719005,29
2116.1463831403075,32
2126.1475223087145,27
2136.148661477122,17
2146.1498006455286,23
2156.150939813936,33
2166.1520789823426,25
2176.15321815075,15
2186.154357319157,14
2196.155496487564,23
2206.156635655971,30
2216.157774824378,25
2226.1589139927855,34
2236.160053161192,25
2246.1611923295995,21
2256.162331498006,19
2266.1634706664136,18
2276.1646098348206,25
2286.1657490032276,17
2296.166888171635,25
2306.1680273400416,30
2316.169166508449,28
2326.1703056768556,18
2336.171444845263,21
2346.17258401367,21
2356.173723182077,21
2366.174862350484,14
2376.176001518891,11
2386.1771406872986,16
2396.178279855705,24
2406.1794190241126,24
2416.180558192519,21
2426.1816973609266,22
2436.1828365293336,26
2446.1839756977406,24
2456.1851148661476,32
2466.1862540345546,23
2476.187393202962,30
2486.1885323713686,25
2496.189671539776,11
2506.1908107081827,22
2516.19194987659,22
2526.193089044997,24
2536.194228213404,21
2546.1953673818116,18
2556.196506550218,22
2566.1976457186256,16
2576.198784887032,28
2586.1999240554396,22
2596.2010632238466,20
2606.2022023922536,25
2616.2033415606606,12
2626.2044807290677,14
2636.205619897475,19
2646.2067590658817,14
2656.207898234289,19
2666.2090374026957,19
2676.210176571103,16
2686.21131573951,18
2696.212454907917,20
2706.2135940763246,22
2716.214733244731,13
2726.2158724131386,18
2736.217011581545,19
2746.2181507499527,18
2756.219289918359,19
2766.2204290867667,16
2776.2215682551737,16
2786.2227074235807,16
2796.223846591988,19
2806.2249857603947,10
2816.226124928802,13
2826.2272640972087,11
2836.228403265616,21
2846.229542434023,22
2856.23068160243,12
2866.231820770837,20
2876.232959939244,16
2886.2340991076517,28
2896.235238276058,13
2906.2363774444657,19
2916.2375166128722,20
2926.2386557812797,16
2936.2397949496867,13
2946.2409341180937,17
2956.242073286501,17
2966.2432124549077,16
2976.244351623315,25
2986.2454907917217,14
2996.246629960129,23
3006.2477691285358,24
3016.2489082969432,18
3026.2500474653507,25
3036.2511866337572,12
3046.2523258021647,16
3056.2534649705713,29
3066.2546041389787,8
3076.2557433073853,20
3086.2568824757927,23
3096.2580216441993,23
3106.2591608126068,25
3116.260299981014,11
3126.2614391494208,22
3136.2625783178282,14
3146.263717486235,15
3156.2648566546422,20
3166.265995823049,20
3176.2671349914563,19
3186.2682741598633,15
3196.2694133282703,14
3206.2705524966777,21
3216.2716916650843,20
3226.2728308334918,14
3236.2739700018983,21
3246.2751091703058,21
3256.2762483387123,23
3266.27738750712,14
3276.2785266755272,23
3286.279665843934,22
3296.2808050123413,17
3306.281944180748,17
3316.2830833491553,22
3326.284222517562,27
3336.2853616859693,22
3346.2865008543763,19
3356.2876400227833,22
3366.2887791911908,20
3376.2899183595973,30
3386.291057528005,21
3396.2921966964113,24
3406.293335864819,25
3416.2944750332254,22
3426.295614201633,23
3436.29675337004,22
3446.297892538447,25
3456.2990317068543,23
3466.300170875261,25
3476.3013100436683,21
3486.302449212075,27
3496.3035883804823,17
3506.304727548889,16
3516.3058667172963,13
3526.307005885704,31
3536.3081450541104,20
3546.309284222518,23
3556.3104233909244,14
3566.311562559332,26
3576.3127017277384,29
3586.313840896146,25
3596.314980064553,26
3606.31611923296,23
3616.3172584013673,27
3626.318397569774,26
3636.3195367381813,30
3646.320675906588,28
3656.3218150749954,22
3666.322954243402,20
3676.3240934118094,19
3686.325232580217,29
3696.3263717486234,16
3706.327510917031,26
3716.3286500854374,17
3726.329789253845,21
3736.3309284222514,20
3746.332067590659,26
3756.3332067590654,18
3766.334345927473,24
3776.3354850958804,22
3786.336624264287,22
3796.3377634326944,30
3806.338902601101,17
3816.3400417695084,28
3826.341180937915,23
3836.3423201063224,25
3846.3434592747294,28
3856.3445984431364,30
3866.345737611544,21
3876.3468767799504,26
3886.348015948358,29
3896.3491551167645,25
3906.350294285172,22
3916.3514334535785,37
3926.352572621986,19
3936.3537117903934,27
3946.3548509588,23
3956.3559901272074,23
3966.357129295614,28
