bin_center,count
9175.000789533047,1
9185.002368599144,0
9195.003947665238,0
9205.005526731333,0
9215.007105797427,0
9225.008684863524,0
9235.010263929618,0
9245.011842995715,0
9255.01342206181,0
9265.015001127904,0
9275.016580193998,0
9285.018159260095,0
9295.01973832619,0
9305.021317392286,0
9315.02289645838,0
9325.024475524475,0
9335.026054590571,0
9345.027633656666,0
9355.029212722762,0
9365.030791788857,0
9375.032370854951,0
9385.033949921046,0
9395.035528987142,0
9405.037108053237,0
9415.038687119333,0
9425.040266185428,0
9435.041845251522,0
9445.043424317617,0
9455.045003383713,0
9465.046582449808,0
9475.048161515904,0
9485.049740581999,0
9495.051319648093,0
9505.052898714188,0
9515.054477780284,1
9525.056056846379,0
9535.057635912475,0
9545.05921497857,1
9555.060794044664,0
9565.06237311076,1
9575.063952176855,0
9585.065531242952,0
9595.067110309046,0
9605.06868937514,0
9615.070268441235,0
9625.071847507332,0
9635.073426573426,0
9645.075005639523,0
9655.076584705617,0
9665.078163771712,0
9675.079742837806,0
9685.081321903903,0
9695.082900969997,0
9705.084480036094,0
9715.086059102188,0
9725.087638168283,0
9735.089217234377,0
9745.090796300474,1
9755.092375366568,0
9765.093954432665,0
9775.09553349876,0
9785.097112564854,0
9795.09869163095,0
9805.100270697045,0
9815.101849763141,0
9825.103428829236,0
9835.10500789533,0
9845.106586961425,0
9855.108166027521,0
9865.109745093616,0
9875.111324159712,0
9885.112903225807,0
9895.114482291901,1
9905.116061357996,0
9915.117640424092,0
9925.119219490187,0
9935.120798556283,0
9945.122377622378,0
9955.123956688472,0
9965.125535754567,0
9975.127114820663,0
9985.128693886758,0
9995.130272952854,0
10005.131852018949,0
10015.133431085043,0
10025.135010151138,0
10035.136589217234,1
10045.138168283329,0
10055.139747349425,0
10065.14132641552,0
10075.142905481614,0
10085.14448454771,0
10095.146063613805,0
10105.147642679902,0
10115.149221745996,1
10125.15080081209,0
10135.152379878185,0
10145.153958944282,0
10155.155538010376,0
10165.157117076473,0
10175.158696142567,0
10185.160275208662,1
10195.161854274756,0
10205.163433340853,0
10215.165012406947,0
10225.166591473044,2
10235.168170539138,1
10245.169749605233,0
10255.17132867133,0
10265.172907737424,0
10275.174486803518,0
10285.176065869615,0
10295.17764493571,0
10305.179224001804,2
10315.1808030679,1
10325.182382133995,0
10335.18396120009,1
10345.185540266186,1
10355.18711933228,1
10365.188698398375,0
10375.190277464471,0
10385.191856530566,1
10395.193435596662,0
10405.195014662757,2
10415.196593728851,0
10425.198172794946,1
10435.199751861042,0
10445.201330927137,0
10455.202909993233,0
10465.204489059328,0
10475.206068125422,0
