bin_center,count
5.0,22096
15.0,14362
25.0,13388
35.0,9972
45.0,7167
55.0,5127
65.0,3701
75.0,2862
85.0,2127
95.0,1805
105.0,1601
115.0,1498
125.0,1284
135.0,1201
145.0,1156
155.0,1000
165.0,1056
175.0,1048
185.0,899
195.0,841
205.0,832
215.0,841
225.0,804
235.0,819
245.0,698
255.0,674
265.0,742
275.0,644
285.0,667
295.0,651
305.0,580
315.0,571
325.0,648
335.0,573
345.0,533
355.0,531
365.0,527
375.0,541
385.0,551
395.0,504
405.0,512
415.0,477
425.0,474
435.0,469
445.0,438
455.0,475
465.0,405
475.0,417
485.0,439
495.0,428
505.0,483
515.0,422
525.0,357
535.0,431
545.0,401
555.0,368
565.0,372
575.0,365
585.0,357
595.0,376
605.0,360
615.0,373
625.0,380
635.0,384
645.0,388
655.0,376
665.0,365
675.0,332
685.0,327
695.0,342
705.0,374
715.0,329
725.0,304
735.0,335
745.0,324
755.0,283
765.0,319
775.0,333
785.0,306
795.0,306
805.0,328
815.0,308
825.0,271
835.0,260
845.0,296
855.0,293
865.0,286
875.0,277
885.0,279
895.0,295
905.0,279
915.0,284
925.0,266
935.0,287
945.0,289
955.0,281
965.0,277
975.0,287
985.0,247
995.0,246
1005.0,267
1015.0,280
1025.0,276
1035.0,242
1045.0,264
1055.0,261
1065.0,244
1075.0,247
1085.0,249
1095.0,251
1105.0,255
1115.0,237
1125.0,258
1135.0,278
1145.0,248
1155.0,258
1165.0,237
1175.0,293
1185.0,258
1195.0,251
1205.0,268
1215.0,229
1225.0,284
1235.0,254
1245.0,239
1255.0,239
1265.0,267
1275.0,237
1285.0,225
1295.0,245
1305.0,241
1315.0,270
1325.0,241
1335.0,235
1345.0,256
1355.0,258
1365.0,266
1375.0,270
1385.0,270
1395.0,251
1405.0,238
1415.0,275
1425.0,260
1435.0,285
1445.0,258
1455.0,256
1465.0,278
1475.0,276
1485.0,275
1495.0,284
1505.0,296
1515.0,284
1525.0,299
1535.0,288
1545.0,281
1555.0,287
1565.0,285
1575.0,314
1585.0,257
1595.0,265
1605.0,319
1615.0,314
1625.0,291
1635.0,328
1645.0,320
1655.0,275
1665.0,308
1675.0,336
1685.0,285
1695.0,293
1705.0,327
1715.0,295
1725.0,299
1735.0,309
1745.0,371
1755.0,316
1765.0,306
1775.0,295
1785.0,340
1795.0,290
1805.0,287
1815.0,316
1825.0,299
1835.0,302
1845.0,307
1855.0,312
1865.0,300
1875.0,302
1885.0,288
1895.0,311
1905.0,286
1915.0,279
1925.0,293
1935.0,305
1945.0,283
1955.0,295
1965.0,270
1975.0,282
1985.0,287
1995.0,275
2005.0,287
2015.0,263
2025.0,257
2035.0,279
2045.0,251
2055.0,240
2065.0,250
2075.0,259
2085.0,226
2095.0,265
2105.0,254
2115.0,261
2125.0,269
2135.0,247
2145.0,229
2155.0,249
2165.0,224
2175.0,258
2185.0,272
2195.0,251
2205.0,237
2215.0,249
2225.0,228
2235.0,245
2245.0,210
2255.0,223
2265.0,199
2275.0,263
2285.0,252
2295.0,228
2305.0,227
2315.0,232
2325.0,225
2335.0,213
2345.0,235
2355.0,246
2365.0,228
2375.0,247
2385.0,244
2395.0,262
2405.0,287
2415.0,256
2425.0,243
2435.0,220
2445.0,261
2455.0,248
2465.0,258
2475.0,258
2485.0,279
2495.0,269
2505.0,268
2515.0,296
2525.0,262
2535.0,248
2545.0,282
2555.0,286
2565.0,278
2575.0,302
2585.0,297
2595.0,301
2605.0,296
2615.0,333
2625.0,328
2635.0,300
2645.0,355
2655.0,363
2665.0,350
2675.0,388
2685.0,384
2695.0,406
2705.0,384
2715.0,424
2725.0,432
2735.0,468
